type,filename,text
trialstart-sp,trialstart-sp-charlie-candy.mp3,Here are Charlie and you! Charlie's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-charlie-candy.mp3,Let's see how many candies Charlie gives to you!
trialstart-sp,trialstart-sp-charlie-bug.mp3,Here are Charlie and you! Charlie's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-charlie-bug.mp3,Let's see how many bugs Charlie gives to you!
distcomplete-sp,distcomplete-sp-charlie-gave-you-1-candy.mp3,Look! Charlie gave you one candy!
distcomplete-sp,distcomplete-sp-charlie-gave-you-1-bug.mp3,Look! Charlie gave you one bug!
distcomplete-sp,distcomplete-sp-charlie-gave-you-5-candy.mp3,Look! Charlie gave you five candies!
distcomplete-sp,distcomplete-sp-charlie-gave-you-5-bug.mp3,Look! Charlie gave you five bugs!
distcomplete-sp,distcomplete-sp-charlie-gave-you-9-candy.mp3,Look! Charlie gave you nine candies!
distcomplete-sp,distcomplete-sp-charlie-gave-you-9-bug.mp3,Look! Charlie gave you nine bugs!
emotion-sp,emotion-sp-charlie.mp3,"How do you feel about what Charlie gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-charlie.mp3,How happy or unhappy do you feel about what Charlie gave you?
arousal-sp,arousal-sp-charlie.mp3,How sleepy or awake do you feel about what Charlie gave you?
trialstart-sp,trialstart-sp-sam-candy.mp3,Here are Sam and you! Sam's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-sam-candy.mp3,Let's see how many candies Sam gives to you!
trialstart-sp,trialstart-sp-sam-bug.mp3,Here are Sam and you! Sam's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-sam-bug.mp3,Let's see how many bugs Sam gives to you!
distcomplete-sp,distcomplete-sp-sam-gave-you-1-candy.mp3,Look! Sam gave you one candy!
distcomplete-sp,distcomplete-sp-sam-gave-you-1-bug.mp3,Look! Sam gave you one bug!
distcomplete-sp,distcomplete-sp-sam-gave-you-5-candy.mp3,Look! Sam gave you five candies!
distcomplete-sp,distcomplete-sp-sam-gave-you-5-bug.mp3,Look! Sam gave you five bugs!
distcomplete-sp,distcomplete-sp-sam-gave-you-9-candy.mp3,Look! Sam gave you nine candies!
distcomplete-sp,distcomplete-sp-sam-gave-you-9-bug.mp3,Look! Sam gave you nine bugs!
emotion-sp,emotion-sp-sam.mp3,"How do you feel about what Sam gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-sam.mp3,How happy or unhappy do you feel about what Sam gave you?
arousal-sp,arousal-sp-sam.mp3,How sleepy or awake do you feel about what Sam gave you?
trialstart-sp,trialstart-sp-alex-candy.mp3,Here are Alex and you! Alex's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-alex-candy.mp3,Let's see how many candies Alex gives to you!
trialstart-sp,trialstart-sp-alex-bug.mp3,Here are Alex and you! Alex's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-alex-bug.mp3,Let's see how many bugs Alex gives to you!
distcomplete-sp,distcomplete-sp-alex-gave-you-1-candy.mp3,Look! Alex gave you one candy!
distcomplete-sp,distcomplete-sp-alex-gave-you-1-bug.mp3,Look! Alex gave you one bug!
distcomplete-sp,distcomplete-sp-alex-gave-you-5-candy.mp3,Look! Alex gave you five candies!
distcomplete-sp,distcomplete-sp-alex-gave-you-5-bug.mp3,Look! Alex gave you five bugs!
distcomplete-sp,distcomplete-sp-alex-gave-you-9-candy.mp3,Look! Alex gave you nine candies!
distcomplete-sp,distcomplete-sp-alex-gave-you-9-bug.mp3,Look! Alex gave you nine bugs!
emotion-sp,emotion-sp-alex.mp3,"How do you feel about what Alex gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-alex.mp3,How happy or unhappy do you feel about what Alex gave you?
arousal-sp,arousal-sp-alex.mp3,How sleepy or awake do you feel about what Alex gave you?
trialstart-sp,trialstart-sp-avery-candy.mp3,Here are Avery and you! Avery's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-avery-candy.mp3,Let's see how many candies Avery gives to you!
trialstart-sp,trialstart-sp-avery-bug.mp3,Here are Avery and you! Avery's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-avery-bug.mp3,Let's see how many bugs Avery gives to you!
distcomplete-sp,distcomplete-sp-avery-gave-you-1-candy.mp3,Look! Avery gave you one candy!
distcomplete-sp,distcomplete-sp-avery-gave-you-1-bug.mp3,Look! Avery gave you one bug!
distcomplete-sp,distcomplete-sp-avery-gave-you-5-candy.mp3,Look! Avery gave you five candies!
distcomplete-sp,distcomplete-sp-avery-gave-you-5-bug.mp3,Look! Avery gave you five bugs!
distcomplete-sp,distcomplete-sp-avery-gave-you-9-candy.mp3,Look! Avery gave you nine candies!
distcomplete-sp,distcomplete-sp-avery-gave-you-9-bug.mp3,Look! Avery gave you nine bugs!
emotion-sp,emotion-sp-avery.mp3,"How do you feel about what Avery gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-avery.mp3,How happy or unhappy do you feel about what Avery gave you?
arousal-sp,arousal-sp-avery.mp3,How sleepy or awake do you feel about what Avery gave you?
trialstart-sp,trialstart-sp-riley-candy.mp3,Here are Riley and you! Riley's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-riley-candy.mp3,Let's see how many candies Riley gives to you!
trialstart-sp,trialstart-sp-riley-bug.mp3,Here are Riley and you! Riley's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-riley-bug.mp3,Let's see how many bugs Riley gives to you!
distcomplete-sp,distcomplete-sp-riley-gave-you-1-candy.mp3,Look! Riley gave you one candy!
distcomplete-sp,distcomplete-sp-riley-gave-you-1-bug.mp3,Look! Riley gave you one bug!
distcomplete-sp,distcomplete-sp-riley-gave-you-5-candy.mp3,Look! Riley gave you five candies!
distcomplete-sp,distcomplete-sp-riley-gave-you-5-bug.mp3,Look! Riley gave you five bugs!
distcomplete-sp,distcomplete-sp-riley-gave-you-9-candy.mp3,Look! Riley gave you nine candies!
distcomplete-sp,distcomplete-sp-riley-gave-you-9-bug.mp3,Look! Riley gave you nine bugs!
emotion-sp,emotion-sp-riley.mp3,"How do you feel about what Riley gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-riley.mp3,How happy or unhappy do you feel about what Riley gave you?
arousal-sp,arousal-sp-riley.mp3,How sleepy or awake do you feel about what Riley gave you?
trialstart-sp,trialstart-sp-blake-candy.mp3,Here are Blake and you! Blake's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-blake-candy.mp3,Let's see how many candies Blake gives to you!
trialstart-sp,trialstart-sp-blake-bug.mp3,Here are Blake and you! Blake's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-blake-bug.mp3,Let's see how many bugs Blake gives to you!
distcomplete-sp,distcomplete-sp-blake-gave-you-1-candy.mp3,Look! Blake gave you one candy!
distcomplete-sp,distcomplete-sp-blake-gave-you-1-bug.mp3,Look! Blake gave you one bug!
distcomplete-sp,distcomplete-sp-blake-gave-you-5-candy.mp3,Look! Blake gave you five candies!
distcomplete-sp,distcomplete-sp-blake-gave-you-5-bug.mp3,Look! Blake gave you five bugs!
distcomplete-sp,distcomplete-sp-blake-gave-you-9-candy.mp3,Look! Blake gave you nine candies!
distcomplete-sp,distcomplete-sp-blake-gave-you-9-bug.mp3,Look! Blake gave you nine bugs!
emotion-sp,emotion-sp-blake.mp3,"How do you feel about what Blake gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-blake.mp3,How happy or unhappy do you feel about what Blake gave you?
arousal-sp,arousal-sp-blake.mp3,How sleepy or awake do you feel about what Blake gave you?
trialstart-sp,trialstart-sp-jamie-candy.mp3,Here are Jamie and you! Jamie's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-jamie-candy.mp3,Let's see how many candies Jamie gives to you!
trialstart-sp,trialstart-sp-jamie-bug.mp3,Here are Jamie and you! Jamie's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-jamie-bug.mp3,Let's see how many bugs Jamie gives to you!
distcomplete-sp,distcomplete-sp-jamie-gave-you-1-candy.mp3,Look! Jamie gave you one candy!
distcomplete-sp,distcomplete-sp-jamie-gave-you-1-bug.mp3,Look! Jamie gave you one bug!
distcomplete-sp,distcomplete-sp-jamie-gave-you-5-candy.mp3,Look! Jamie gave you five candies!
distcomplete-sp,distcomplete-sp-jamie-gave-you-5-bug.mp3,Look! Jamie gave you five bugs!
distcomplete-sp,distcomplete-sp-jamie-gave-you-9-candy.mp3,Look! Jamie gave you nine candies!
distcomplete-sp,distcomplete-sp-jamie-gave-you-9-bug.mp3,Look! Jamie gave you nine bugs!
emotion-sp,emotion-sp-jamie.mp3,"How do you feel about what Jamie gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-jamie.mp3,How happy or unhappy do you feel about what Jamie gave you?
arousal-sp,arousal-sp-jamie.mp3,How sleepy or awake do you feel about what Jamie gave you?
trialstart-sp,trialstart-sp-quinn-candy.mp3,Here are Quinn and you! Quinn's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-quinn-candy.mp3,Let's see how many candies Quinn gives to you!
trialstart-sp,trialstart-sp-quinn-bug.mp3,Here are Quinn and you! Quinn's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-quinn-bug.mp3,Let's see how many bugs Quinn gives to you!
distcomplete-sp,distcomplete-sp-quinn-gave-you-1-candy.mp3,Look! Quinn gave you one candy!
distcomplete-sp,distcomplete-sp-quinn-gave-you-1-bug.mp3,Look! Quinn gave you one bug!
distcomplete-sp,distcomplete-sp-quinn-gave-you-5-candy.mp3,Look! Quinn gave you five candies!
distcomplete-sp,distcomplete-sp-quinn-gave-you-5-bug.mp3,Look! Quinn gave you five bugs!
distcomplete-sp,distcomplete-sp-quinn-gave-you-9-candy.mp3,Look! Quinn gave you nine candies!
distcomplete-sp,distcomplete-sp-quinn-gave-you-9-bug.mp3,Look! Quinn gave you nine bugs!
emotion-sp,emotion-sp-quinn.mp3,"How do you feel about what Quinn gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-quinn.mp3,How happy or unhappy do you feel about what Quinn gave you?
arousal-sp,arousal-sp-quinn.mp3,How sleepy or awake do you feel about what Quinn gave you?
trialstart-sp,trialstart-sp-jessy-candy.mp3,Here are Jessy and you! Jessy's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-jessy-candy.mp3,Let's see how many candies Jessy gives to you!
trialstart-sp,trialstart-sp-jessy-bug.mp3,Here are Jessy and you! Jessy's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-jessy-bug.mp3,Let's see how many bugs Jessy gives to you!
distcomplete-sp,distcomplete-sp-jessy-gave-you-1-candy.mp3,Look! Jessy gave you one candy!
distcomplete-sp,distcomplete-sp-jessy-gave-you-1-bug.mp3,Look! Jessy gave you one bug!
distcomplete-sp,distcomplete-sp-jessy-gave-you-5-candy.mp3,Look! Jessy gave you five candies!
distcomplete-sp,distcomplete-sp-jessy-gave-you-5-bug.mp3,Look! Jessy gave you five bugs!
distcomplete-sp,distcomplete-sp-jessy-gave-you-9-candy.mp3,Look! Jessy gave you nine candies!
distcomplete-sp,distcomplete-sp-jessy-gave-you-9-bug.mp3,Look! Jessy gave you nine bugs!
emotion-sp,emotion-sp-jessy.mp3,"How do you feel about what Jessy gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-jessy.mp3,How happy or unhappy do you feel about what Jessy gave you?
arousal-sp,arousal-sp-jessy.mp3,How sleepy or awake do you feel about what Jessy gave you?
trialstart-sp,trialstart-sp-micah-candy.mp3,Here are Micah and you! Micah's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-micah-candy.mp3,Let's see how many candies Micah gives to you!
trialstart-sp,trialstart-sp-micah-bug.mp3,Here are Micah and you! Micah's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-micah-bug.mp3,Let's see how many bugs Micah gives to you!
distcomplete-sp,distcomplete-sp-micah-gave-you-1-candy.mp3,Look! Micah gave you one candy!
distcomplete-sp,distcomplete-sp-micah-gave-you-1-bug.mp3,Look! Micah gave you one bug!
distcomplete-sp,distcomplete-sp-micah-gave-you-5-candy.mp3,Look! Micah gave you five candies!
distcomplete-sp,distcomplete-sp-micah-gave-you-5-bug.mp3,Look! Micah gave you five bugs!
distcomplete-sp,distcomplete-sp-micah-gave-you-9-candy.mp3,Look! Micah gave you nine candies!
distcomplete-sp,distcomplete-sp-micah-gave-you-9-bug.mp3,Look! Micah gave you nine bugs!
emotion-sp,emotion-sp-micah.mp3,"How do you feel about what Micah gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-micah.mp3,How happy or unhappy do you feel about what Micah gave you?
arousal-sp,arousal-sp-micah.mp3,How sleepy or awake do you feel about what Micah gave you?
trialstart-sp,trialstart-sp-taylor-candy.mp3,Here are Taylor and you! Taylor's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-taylor-candy.mp3,Let's see how many candies Taylor gives to you!
trialstart-sp,trialstart-sp-taylor-bug.mp3,Here are Taylor and you! Taylor's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-taylor-bug.mp3,Let's see how many bugs Taylor gives to you!
distcomplete-sp,distcomplete-sp-taylor-gave-you-1-candy.mp3,Look! Taylor gave you one candy!
distcomplete-sp,distcomplete-sp-taylor-gave-you-1-bug.mp3,Look! Taylor gave you one bug!
distcomplete-sp,distcomplete-sp-taylor-gave-you-5-candy.mp3,Look! Taylor gave you five candies!
distcomplete-sp,distcomplete-sp-taylor-gave-you-5-bug.mp3,Look! Taylor gave you five bugs!
distcomplete-sp,distcomplete-sp-taylor-gave-you-9-candy.mp3,Look! Taylor gave you nine candies!
distcomplete-sp,distcomplete-sp-taylor-gave-you-9-bug.mp3,Look! Taylor gave you nine bugs!
emotion-sp,emotion-sp-taylor.mp3,"How do you feel about what Taylor gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-taylor.mp3,How happy or unhappy do you feel about what Taylor gave you?
arousal-sp,arousal-sp-taylor.mp3,How sleepy or awake do you feel about what Taylor gave you?
trialstart-sp,trialstart-sp-cam-candy.mp3,Here are Cam and you! Cam's backpack has 10 candies inside and you have none!
distprompt-sp,distprompt-sp-cam-candy.mp3,Let's see how many candies Cam gives to you!
trialstart-sp,trialstart-sp-cam-bug.mp3,Here are Cam and you! Cam's backpack has 10 bugs inside and you have none!
distprompt-sp,distprompt-sp-cam-bug.mp3,Let's see how many bugs Cam gives to you!
distcomplete-sp,distcomplete-sp-cam-gave-you-1-candy.mp3,Look! Cam gave you one candy!
distcomplete-sp,distcomplete-sp-cam-gave-you-1-bug.mp3,Look! Cam gave you one bug!
distcomplete-sp,distcomplete-sp-cam-gave-you-5-candy.mp3,Look! Cam gave you five candies!
distcomplete-sp,distcomplete-sp-cam-gave-you-5-bug.mp3,Look! Cam gave you five bugs!
distcomplete-sp,distcomplete-sp-cam-gave-you-9-candy.mp3,Look! Cam gave you nine candies!
distcomplete-sp,distcomplete-sp-cam-gave-you-9-bug.mp3,Look! Cam gave you nine bugs!
emotion-sp,emotion-sp-cam.mp3,"How do you feel about what Cam gave you? Remember, you can pick as many feelings as you want!"
valence-sp,valence-sp-cam.mp3,How happy or unhappy do you feel about what Cam gave you?
arousal-sp,arousal-sp-cam.mp3,How sleepy or awake do you feel about what Cam gave you?
trialstart-tp,trialstart-tp-charlie-jordan-candy.mp3,Here are Charlie and Jordan! Charlie's backpack has 10 candies inside and Jordan has none!
distprompt-tp,distprompt-tp-charlie-jordan-candy.mp3,Let's see how many candies Charlie gives to Jordan!
trialstart-tp,trialstart-tp-charlie-jordan-bug.mp3,Here are Charlie and Jordan! Charlie's backpack has 10 bugs inside and Jordan has none!
distprompt-tp,distprompt-tp-charlie-jordan-bug.mp3,Let's see how many bugs Charlie gives to Jordan!
distcomplete-tp,distcomplete-tp-charlie-jordan-gave-1-candy.mp3,Look! Charlie gave Jordan one candy!
distcomplete-tp,distcomplete-tp-charlie-jordan-gave-1-bug.mp3,Look! Charlie gave Jordan one bug!
distcomplete-tp,distcomplete-tp-charlie-jordan-gave-5-candy.mp3,Look! Charlie gave Jordan five candies!
distcomplete-tp,distcomplete-tp-charlie-jordan-gave-5-bug.mp3,Look! Charlie gave Jordan five bugs!
distcomplete-tp,distcomplete-tp-charlie-jordan-gave-9-candy.mp3,Look! Charlie gave Jordan nine candies!
distcomplete-tp,distcomplete-tp-charlie-jordan-gave-9-bug.mp3,Look! Charlie gave Jordan nine bugs!
trialstart-tp,trialstart-tp-charlie-skyler-candy.mp3,Here are Charlie and Skyler! Charlie's backpack has 10 candies inside and Skyler has none!
distprompt-tp,distprompt-tp-charlie-skyler-candy.mp3,Let's see how many candies Charlie gives to Skyler!
trialstart-tp,trialstart-tp-charlie-skyler-bug.mp3,Here are Charlie and Skyler! Charlie's backpack has 10 bugs inside and Skyler has none!
distprompt-tp,distprompt-tp-charlie-skyler-bug.mp3,Let's see how many bugs Charlie gives to Skyler!
distcomplete-tp,distcomplete-tp-charlie-skyler-gave-1-candy.mp3,Look! Charlie gave Skyler one candy!
distcomplete-tp,distcomplete-tp-charlie-skyler-gave-1-bug.mp3,Look! Charlie gave Skyler one bug!
distcomplete-tp,distcomplete-tp-charlie-skyler-gave-5-candy.mp3,Look! Charlie gave Skyler five candies!
distcomplete-tp,distcomplete-tp-charlie-skyler-gave-5-bug.mp3,Look! Charlie gave Skyler five bugs!
distcomplete-tp,distcomplete-tp-charlie-skyler-gave-9-candy.mp3,Look! Charlie gave Skyler nine candies!
distcomplete-tp,distcomplete-tp-charlie-skyler-gave-9-bug.mp3,Look! Charlie gave Skyler nine bugs!
trialstart-tp,trialstart-tp-charlie-mackenzie-candy.mp3,Here are Charlie and Mackenzie! Charlie's backpack has 10 candies inside and Mackenzie has none!
distprompt-tp,distprompt-tp-charlie-mackenzie-candy.mp3,Let's see how many candies Charlie gives to Mackenzie!
trialstart-tp,trialstart-tp-charlie-mackenzie-bug.mp3,Here are Charlie and Mackenzie! Charlie's backpack has 10 bugs inside and Mackenzie has none!
distprompt-tp,distprompt-tp-charlie-mackenzie-bug.mp3,Let's see how many bugs Charlie gives to Mackenzie!
distcomplete-tp,distcomplete-tp-charlie-mackenzie-gave-1-candy.mp3,Look! Charlie gave Mackenzie one candy!
distcomplete-tp,distcomplete-tp-charlie-mackenzie-gave-1-bug.mp3,Look! Charlie gave Mackenzie one bug!
distcomplete-tp,distcomplete-tp-charlie-mackenzie-gave-5-candy.mp3,Look! Charlie gave Mackenzie five candies!
distcomplete-tp,distcomplete-tp-charlie-mackenzie-gave-5-bug.mp3,Look! Charlie gave Mackenzie five bugs!
distcomplete-tp,distcomplete-tp-charlie-mackenzie-gave-9-candy.mp3,Look! Charlie gave Mackenzie nine candies!
